reproduced_url,original_pr_id
https://github.com/jiatoudau/spring-ai-llmcr-eval/pull/8,5091
https://github.com/jiatoudau/spring-ai-llmcr-eval/pull/9,5252
https://github.com/jiatoudau/spring-ai-llmcr-eval/pull/10,5292
https://github.com/jiatoudau/spring-ai-llmcr-eval/pull/11,5414
https://github.com/jiatoudau/spring-ai-llmcr-eval/pull/12,5416
https://github.com/jiatoudau/spring-ai-llmcr-eval/pull/13,5440
https://github.com/jiatoudau/spring-ai-llmcr-eval/pull/14,5483
https://github.com/jiatoudau/spring-ai-llmcr-eval/pull/15,5506
https://github.com/jiatoudau/spring-ai-llmcr-eval/pull/16,5659
https://github.com/jiatoudau/spring-ai-llmcr-eval/pull/17,5585
